排名,名字,导演,主演,年份,地区,评分,简介
55,饮食男女,李安,郎雄,1994,台湾 美国,9.1,人生不能像做菜，把所有的料都准备好了才下锅。
56,美丽心灵,朗·霍华德,罗素·克劳,2001,美国,8.9,爱是一切逻辑和原由。
57,情书,岩井俊二,中山美穗,1995,日本,8.9,暗恋的极致。
58,狮子王,Roger,乔纳森·泰勒·托马...,1994,美国,8.9,动物版《哈姆雷特》。
59,钢琴家,罗曼·波兰斯基,艾德里安·布洛迪,2002,法国 德国 英国 波兰,9.1,音乐能化解仇恨。
60,美国往事,赛尔乔·莱翁内,罗伯特·德尼罗,1984,意大利 美国,9.1,往事如烟，无处祭奠。
61,小鞋子,马基德·马基迪,Amir,1997,伊朗,9.2,奔跑的孩子是天使。
62,本杰明·巴顿奇事,大卫·芬奇,凯特·布兰切特,2008,美国,8.8,在时间之河里感受溺水之苦。
63,七宗罪,大卫·芬奇,摩根·弗里曼,1995,美国,8.8,警察抓小偷，老鼠玩死猫。
64,西西里的美丽传说,朱塞佩·托纳多雷,莫妮卡·贝鲁奇,2000,意大利 美国,8.8,美丽无罪。
65,致命魔术,克里斯托弗·诺兰,休·杰克曼,2006,美国 英国,8.8,孪生蝙蝠侠大战克隆金刚狼。
66,看不见的客人,奥里奥尔·保罗,马里奥·卡萨斯,2016,西班牙,8.7,你以为你以为的就是你以为的。
67,黑客帝国,安迪·沃卓斯基,匿名,1999,美国 澳大利亚,8.9,视觉革命。
68,被嫌弃的松子的一生,中岛哲也,中谷美纪,2006,日本,8.9,以戏谑来戏谑戏谑。
69,让子弹飞,姜文,姜文,2010,中国大陆 香港,8.7,你给我翻译翻译，神马叫做TMD的惊喜。
70,拯救大兵瑞恩,史蒂文·斯皮尔伯格,汤姆·汉克斯,1998,美国,8.9,美利坚精神输出大片No1.
71,大闹天宫,万籁鸣,邱岳峰,1961,2004(中国大陆),9.3,经典之作，历久弥新。
72,音乐之声,Robert,朱丽·安德鲁斯,1965,美国,8.9,用音乐化解仇恨，让歌声串起美好。
73,哈利·波特与魔法石,Chris,Daniel,2001,美国 英国,8.8,童话世界的开端。
74,低俗小说,昆汀·塔伦蒂诺,约翰·特拉沃尔塔,1994,美国,8.8,故事的高级讲法。
75,天使爱美丽,让-皮埃尔·热内,奥黛丽·塔图,2001,法国 德国,8.7,法式小清新。 
76,寻梦环游记,李·昂克里奇,...,2017,美国,9.0,死亡不是真的逝去，遗忘才是永恒的消亡。
77,勇敢的心,梅尔·吉布森,梅尔·吉布森,1995,美国,8.8,史诗大片的典范。
78,沉默的羔羊,乔纳森·戴米,朱迪·福斯特,1991,美国,8.8,安东尼·霍普金斯的顶级表演。
79,剪刀手爱德华,Tim,约翰尼·德普,1990,美国,8.7,浪漫忧郁的成人童话。
80,蝴蝶效应,埃里克·布雷斯,匿名,2004,美国 加拿大,8.7,人的命运被自己瞬间的抉择改变。
81,春光乍泄,王家卫,张国荣,1997,香港 日本 韩国,8.9,爱情纠缠，男女一致。
82,猫鼠游戏,史蒂文·斯皮尔伯格,莱昂纳多·迪卡普里奥,2002,美国 加拿大,8.8,骗子大师和执著警探的你追我跑故事。 
83,心灵捕手,格斯·范·桑特,马特·达蒙,1997,美国,8.8,人生中应该拥有这样的一段豁然开朗。
84,入殓师,泷田洋二郎,本木雅弘,2008,日本,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
85,布达佩斯大饭店,韦斯·安德森,拉尔夫·费因斯,2014,美国 德国 英国,8.8,小清新的故事里注入了大历史的情怀。
86,禁闭岛,Martin,莱昂纳多·迪卡普里奥,2010,美国,8.7,昔日翩翩少年，今日大腹便便。
87,幽灵公主,宫崎骏,松田洋治,1997,日本,8.8,人与自然的战争史诗。
